"Sample","Hmsq","Hcos","Ans","IQ"
"B440-3-EA.mzXML",0,0,0.481481481481481,0.839506172839506
"B440-3-Me.mzXML",0.542121725660498,0,0.370892018779343,0.69566208518672
"B458-3-Me.mzXML",0.534310780662033,0,0.356643356643357,0.70301528756487
"B476-3-Bu.mzXML",0,0,0.482758620689655,0.839080459770115
"B476-3-EA.mzXML",0,0,0.394495412844037,0.868501529051988
"B476-3-Me.mzXML",0.327103575981565,0,0.391304347826087,0.760530692064116
"B527-3-Me.mzXML",0.534310780662033,0,0.226666666666667,0.746340850890433
"B536-3-Bu.mzXML",0.356207187108022,0,0.44,0.734597604297326
"B536-3-EA.mzXML",0,0,0.485714285714286,0.838095238095238
"B536-3-Me.mzXML",0.542121725660498,0,0.390532544378698,0.689115243320268
"H646-3-Me.mzXML",0.979569764547061,0.811278124459133,0.31140350877193,0.299249534073959
"H713-3-Me.mzXML",0.56457503405358,0,0.238095238095238,0.732443242617061
"H721-3-Me.mzXML",0.356207187108022,0,0.336134453781513,0.769219453036822
"H877-3-Me.mzXML",0.356207187108022,0,0.217391304347826,0.808800502848051
"H898-3-Bu.mzXML",0.327103575981565,0,0.275167785234899,0.799242879594512
"H898-3-EA.mzXML",0.327103575981565,0,0.292682926829268,0.793404499063056
"H898-3-Me.mzXML",0.890517967770055,0.811278124459133,0.252525252525253,0.34855955174852
"H905-3-Me.mzXML",0.327103575981565,0,0.353591160220994,0.773101754599147
"H941-3-Me.mzXML",0.534310780662033,0.721928094887362,0.364485981308411,0.459758381047398
"H963-3-Me.mzXML",0.534310780662033,0,0.110552763819095,0.785045485172957
"H964-3-Me.mzXML",0.861801237398628,0,0.386243386243386,0.583985125452662
"H996-3-Me.mzXML",0.56457503405358,0,0.271604938271605,0.721273342558272
"P193-3-Me.mzXML",0.56457503405358,0,0.267441860465116,0.722661035160435
"Q768-3-Me.mzXML",0.545172626635941,0,0.297124600638978,0.719234257575027
"Q884-3-Bu.mzXML",0,0,0.288888888888889,0.903703703703704
"Q884-3-Me.mzXML",0.327103575981565,0,0.392156862745098,0.760246520424446
"R114-3-Me.mzXML",0.327103575981565,0,0.296610169491525,0.792095418175637
"R416-3-Bu.mzXML",0.356207187108022,0.918295834054489,0.130909090909091,0.531529295976133
"R425-3-Me.mzXML",0.684604600503707,0,0.162011173184358,0.717794742103978
"R551-3-Bu.mzXML",0.802046492125594,0,0.356807511737089,0.613715332045772
"R551-3-EA.mzXML",0.827087475346916,0,0.304812834224599,0.622699896809495
